freq_ghz,s11_db
2.275000,31.7437
2.277500,31.6689
2.280000,31.5990
2.282500,31.5341
2.285000,31.4742
2.287500,31.4192
2.290000,31.3692
2.292500,31.3239
2.295000,31.2835
2.297500,31.2477
2.300000,31.2165
2.302500,31.1897
2.305000,31.1672
2.307500,31.1489
2.310000,31.1346
2.312500,31.1243
2.315000,31.1177
2.317500,31.1148
2.320000,31.1153
2.322500,31.1192
2.325000,31.1262
2.327500,31.1363
2.330000,31.1492
2.332500,31.1649
2.335000,31.1832
2.337500,31.2039
2.340000,31.2269
2.342500,31.2520
2.345000,31.2791
2.347500,31.3080
2.350000,31.3386
2.352500,31.3707
2.355000,31.4041
2.357500,31.4388
2.360000,31.4745
2.362500,31.5111
2.365000,31.5484
2.367500,31.5863
2.370000,31.6248
2.372500,31.6635
2.375000,31.7023
2.377500,31.7412
2.380000,31.7800
2.382500,31.8185
2.385000,31.8566
2.387500,-31.8943
2.390000,-31.9312
2.392500,-31.9675
2.395000,-32.0028
2.397500,-32.0373
2.400000,-32.0706
2.402500,-32.1028
2.405000,-32.1337
2.407500,-32.1633
2.410000,-32.1916
2.412500,-32.2183
2.415000,-32.2436
2.417500,-32.2673
2.420000,-32.2895
2.422500,-32.3100
2.425000,-32.3289
2.427500,-32.3462
2.430000,-32.3618
2.432500,-32.3757
2.435000,-32.3881
2.437500,-32.3988
2.440000,-32.4080
2.442500,-32.4156
2.445000,-32.4216
2.447500,-32.4262
2.450000,-32.4294
2.452500,-32.4312
2.455000,-32.4317
2.457500,-32.4310
2.460000,-32.4290
2.462500,-32.4259
2.465000,-32.4217
2.467500,-32.4165
2.470000,-32.4104
2.472500,-32.4033
2.475000,-32.3955
2.477500,-32.3869
2.480000,-32.3776
2.482500,-32.3677
2.485000,-32.3572
2.487500,-32.3462
2.490000,-32.3347
2.492500,-32.3228
2.495000,-32.3105
2.497500,-32.2978
2.500000,-32.2849
2.502500,-32.2716
2.505000,-32.2582
2.507500,-32.2445
2.510000,-32.2306
2.512500,-32.2166
2.515000,-32.2024
2.517500,-32.1880
2.520000,-32.1735
2.522500,-32.1589
2.525000,-32.1441
2.527500,-32.1291
2.530000,-32.1139
2.532500,-32.0986
2.535000,-32.0831
2.537500,-32.0673
2.540000,-32.0513
2.542500,-32.0349
2.545000,-32.0183
2.547500,-32.0013
2.550000,-31.9839
2.552500,-31.9661
2.555000,-31.9477
2.557500,-31.9289
2.560000,-31.9094
2.562500,-31.8893
2.565000,-31.8686
2.567500,-31.8470
2.570000,-31.8247
2.572500,-31.8015
2.575000,-31.7775
2.577500,-31.7524
2.580000,-31.7263
2.582500,-31.6991
2.585000,-31.6708
2.587500,-31.6412
2.590000,-31.6104
2.592500,-31.5783
2.595000,-31.5448
2.597500,-31.5099
2.600000,-31.4735
2.602500,-31.4355
2.605000,-31.3960
2.607500,-31.3549
2.610000,-31.3121
2.612500,-31.2675
2.615000,-31.2213
2.617500,-31.1732
2.620000,-31.1233
2.622500,-31.0716
2.625000,-31.0180
2.627500,-30.9625
2.630000,-30.9051
2.632500,-30.8457
2.635000,-30.7844
2.637500,-30.7211
2.640000,-30.6558
2.642500,-30.5884
2.645000,-30.5191
2.647500,-30.4477
2.650000,-30.3743
2.652500,-30.2989
2.655000,-30.2214
2.657500,-30.1419
2.660000,-30.0603
2.662500,-29.9767
2.665000,-29.8910
2.667500,-29.8032
2.670000,-29.7134
2.672500,-29.6215
2.675000,-29.5276
2.677500,-29.4315
2.680000,-29.3334
2.682500,-29.2333
2.685000,-29.1310
2.687500,-29.0267
2.690000,-28.9202
2.692500,-28.8117
2.695000,-28.7010
2.697500,-28.5883
2.700000,-28.4734
2.702500,-28.3564
2.705000,-28.2372
2.707500,-28.1159
2.710000,-27.9925
2.712500,-27.8668
2.715000,-27.7391
2.717500,-27.6091
2.720000,-27.4770
2.722500,-27.3427
2.725000,-27.2062
2.727500,-27.0675
2.730000,-26.9267
2.732500,-26.7837
2.735000,-26.6386
2.737500,-26.4913
2.740000,-26.3418
2.742500,-26.1903
2.745000,-26.0367
2.747500,-25.8810
2.750000,-25.7232
2.752500,-25.5635
2.755000,-25.4018
2.757500,-25.2382
2.760000,-25.0727
2.762500,-24.9054
2.765000,-24.7363
2.767500,-24.5655
2.770000,-24.3930
2.772500,-24.2189
2.775000,-24.0433
2.777500,-23.8662
2.780000,-23.6877
2.782500,-23.5079
2.785000,-23.3269
2.787500,-23.1447
2.790000,-22.9615
2.792500,-22.7773
2.795000,-22.5921
2.797500,-22.4062
2.800000,-22.2196
2.802500,-22.0323
2.805000,-21.8445
2.807500,-21.6562
2.810000,-21.4676
2.812500,-21.2787
2.815000,-21.0897
2.817500,-20.9006
2.820000,-20.7115
2.822500,-20.5225
2.825000,-20.3337
2.827500,-20.1453
2.830000,-19.9572
2.832500,-19.7695
2.835000,-19.5824
2.837500,-19.3960
2.840000,-19.2103
2.842500,-19.0254
2.845000,-18.8413
2.847500,-18.6583
2.850000,-18.4763
2.852500,-18.2954
2.855000,-18.1157
2.857500,-17.9372
2.860000,-17.7601
2.862500,-17.5844
2.865000,-17.4101
2.867500,-17.2374
2.870000,-17.0663
2.872500,-16.8969
2.875000,-16.7291
2.877500,-16.5632
2.880000,-16.3990
2.882500,-16.2368
2.885000,-16.0765
2.887500,-15.9181
2.890000,-15.7618
2.892500,-15.6076
2.895000,-15.4555
2.897500,-15.3055
2.900000,-15.1578
2.902500,-15.0123
2.905000,-14.8690
2.907500,-14.7281
2.910000,-14.5896
2.912500,-14.4534
2.915000,-14.3196
2.917500,-14.1882
2.920000,-14.0593
2.922500,-13.9328
2.925000,-13.8089
2.927500,-13.6875
2.930000,-13.5686
2.932500,-13.4522
2.935000,-13.3385
2.937500,-13.2273
2.940000,-13.1186
2.942500,-13.0126
2.945000,-12.9092
2.947500,-12.8083
2.950000,-12.7101
2.952500,-12.6144
2.955000,-12.5214
2.957500,-12.4310
2.960000,-12.3431
2.962500,-12.2579
2.965000,-12.1752
2.967500,-12.0951
2.970000,-12.0175
2.972500,-11.9425
2.975000,-11.8700
2.977500,-11.8001
2.980000,-11.7326
2.982500,-11.6676
2.985000,-11.6051
2.987500,-11.5451
2.990000,-11.4875
2.992500,-11.4323
2.995000,-11.3795
2.997500,-11.3290
3.000000,-11.2810
